Area Code;Area;Item Code;Item;Element Code;Element;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
2;Afghanistan;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;46,514576;45,110752;26,788148;26,217202;26,446356;26,220604;23,448794;20,5432;18,930967;17,878741;14,02225;13,225044;10,673856;15,548842;14,219022;22,835775;30,412726;25,42145;83,923713;173,574726;246,914007;494,832556;407,983034;257,233937;189,956611;262,702648;173,793861;237,209887;244,224827;274,647329
2;Afghanistan;6815;Transport;7273;CO2 emissions;kilotonnes;45,426;44,079;26,186;25,627;25,837;25,608;22,915;20,0565;18,484;17,4588;13,7445;12,9455;10,449;15,2185;13,9375;22,362;29,809;24,854;81,9535;169,468;241,406;484,62;400,31;252,375;186,58;258,13;170,8975;233,265;240,165;269,537361
2;Afghanistan;6815;Transport;7225;CH4 emissions;kilotonnes;0,028592;0,026977;0,015694;0,015405;0,015985;0,016124;0,014058;0,013016;0,012019;0,011347;0,007198;0,00737;0,00593;0,008728;0,007295;0,012469;0,015732;0,014908;0,052494;0,109789;0,145601;0,264531;0,193969;0,123015;0,083899;0,113136;0,070567;0,096127;0,098906;0,128937
2;Afghanistan;6815;Transport;7230;N2O emissions;kilotonnes;0,001087;0,001043;0,000614;0,0006;0,00061;0,000608;0,000529;0,000461;0,000417;0,000386;0,000288;0,000276;0,000222;0,000324;0,000292;0,00047;0,000616;0,000566;0,001888;0,003897;0,005401;0,010588;0,00846;0,005338;0,003877;0,005301;0,003474;0,00473;0,00487;0,005659
3;Albania;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;78,60391;59,487494;45,443557;56,44925;70,83956;70,133415;69,37249;55,11264;82,38307;159,665443;166,772685;173,851473;196,80152;215,289047;253,75851;262,162874;211,445606;232,395106;252,442709;255,186422;247,323024;257,631686;248,283031;269,077062;270,130132;266,612335;249,997562;251,550417;220,540637;313,585274
3;Albania;6815;Transport;7273;CO2 emissions;kilotonnes;77,77;58,85;44,88;55,66;69,74;68,97;68,2;54,12;81,18;156,517;163,6635;170,7985;193,4325;211,886;250,5345;258,8645;208,4745;229,2735;249,1;253,2204;245,3174;255,5864;246,3454;266,9694;268,0665;264,5565;248,07185;249,62145;218,847;310,84442
3;Albania;6815;Transport;7225;CH4 emissions;kilotonnes;0,01375;0,010483;0,010164;0,01507;0,02178;0,02354;0,02376;0,02046;0,02277;0,023504;0,022497;0,022594;0,027148;0,027158;0,029114;0,029294;0,025465;0,022706;0,017443;0,017988;0,018519;0,01887;0,017948;0,019784;0,019799;0,019996;0,018676;0,018612;0,016314;0,021355
3;Albania;6815;Transport;7230;N2O emissions;kilotonnes;0,001694;0,001298;0,001053;0,001386;0,001848;0,001903;0,001914;0,001584;0,002134;0,009398;0,009356;0,009133;0,009845;0,009972;0,00909;0,009352;0,008521;0,009381;0,010771;0,005518;0,005612;0,005724;0,005415;0,005863;0,005695;0,005645;0,005293;0,005313;0,004667;0,008086
4;Algeria;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;1678,4647;1789,3557;1756,50145;1768,03275;1612,94705;1546,765522;1513,983959;1491,897854;1568,138;1613,748149;1700,46965;1755,22655;1966,995459;2065,511283;2252,492;2373,42875;2482,83255;2759,8582;2939,984307;3135,911124;3346,214097;3611,195364;4098,663172;4299,796931;4676,945805;4968,377102;4815,595157;4753,161464;4854,208597;4751,290771
4;Algeria;6815;Transport;7273;CO2 emissions;kilotonnes;1661;1771;1738;1749;1595;1529,685;1496,91;1474,86;1551;1596,64;1683;1738;1948,355;2046,3985;2233;2354;2464;2739;2918,88415;3112,845;3321,31;3586,0479;4070,239;4268,925;4639,885;4928;4774,56;4713,795;4813,915;4715,571354
4;Algeria;6815;Transport;7225;CH4 emissions;kilotonnes;0,3135;0,3245;0,3245;0,3289;0,3047;0,287105;0,281606;0,277206;0,2706;0,261811;0,2585;0,2519;0,29371;0,302503;0,3047;0,3014;0,2926;0,2827;0,27835;0,280502;0,280565;0,3047;0,331102;0,346506;0,359776;0,37152;0,382125;0,409739;0,419701;0,35377
4;Algeria;6815;Transport;7230;N2O emissions;kilotonnes;0,03278;0,03498;0,03553;0,03707;0,03553;0,034119;0,034675;0,035004;0,03608;0,036896;0,03861;0,03839;0,039308;0,040161;0,04136;0,04147;0,04015;0,04884;0,050213;0,057404;0,064333;0,062701;0,072277;0,079886;0,101838;0,113112;0,114474;0,10526;0,107706;0,097411
7;Angola;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;113,373975;139,84168;132,099055;134,34344;170,837535;118,882005;109,804805;116,64554;92,603445;128,87094;118,859785;133,29767;164,343465;186,776232;268,212101;195,308429;294,501881;361,381103;474,221918;566,073131;643,444277;717,528479;729,193152;833,730554;861,906236;869,38625;863,470886;729,95588;725,48151;848,137116
7;Angola;6815;Transport;7273;CO2 emissions;kilotonnes;112,2;138,6;130,9;133,1;169,4;117,7;108,68;115,5;91,74;127,6;117,7;132;162,8;185,19;264,572;192,749;291,552;357,56;469,075;559,838;636,122;709,3;720,984;825,541;852,996;860,994;856,014;723,954;719,528;839,764759
7;Angola;6815;Transport;7225;CH4 emissions;kilotonnes;0,02475;0,02519;0,02398;0,02442;0,0275;0,02233;0,02112;0,02134;0,01595;0,02332;0,02112;0,02365;0,02816;0,026391;0,064537;0,045416;0,052921;0,07217;0,09726;0,118021;0,138943;0,156586;0,156587;0,155594;0,169894;0,159929;0,142286;0,11467;0,113568;0,158446
7;Angola;6815;Transport;7230;N2O emissions;kilotonnes;0,001815;0,002024;0,001991;0,002112;0,002519;0,002101;0,002013;0,002068;0,001573;0,002332;0,002145;0,002398;0,002849;0,003197;0,006917;0,00486;0,00554;0,006794;0,009146;0,011059;0,012951;0,014506;0,014433;0,014464;0,015672;0,014771;0,013105;0,010533;0,010466;0,014852
258;Anguilla;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;0,551288;0,711875;0,749664;0,910253;1,260769;1,672224;1,638177;1,359695;1,147783;1,084856;1,478666;1,524023;0,974434;1,245967;1,167237;1,223586;1,211863;1,08136;1,415043;1,994485;2,460682;2,62772;2,62772;2,828052;2,817023;2,828141;2,906027;2,972913;2,894909;2,908427
258;Anguilla;6815;Transport;7273;CO2 emissions;kilotonnes;0,5434;0,7018;0,7392;0,8976;1,243;1,65;1,617;1,342;1,133;1,0714;1,463;1,507;0,9636;1,232;1,155;1,21;1,199;1,0681;1,397;1,969;2,431;2,596;2,596;2,794;2,783;2,794;2,871;2,937;2,86;2,873999
258;Anguilla;6815;Transport;7225;CH4 emissions;kilotonnes;0,000147;0,000187;0,000194;0,000234;0,000322;0,000377;0,00034;0,000273;0,000217;0,000187;0,000202;0,000213;0,00013;0,000158;0,000132;0,000138;0,000122;0,000114;0,000155;0,000219;0,000257;0,000275;0,000275;0,000295;0,000295;0,000296;0,000304;0,000311;0,000303;0,000261
258;Anguilla;6815;Transport;7230;N2O emissions;kilotonnes;0,000014;0,000018;0,000019;0,000023;0,000033;0,000044;0,000044;0,000038;0,000033;0,000031;0,000038;0,000042;0,000027;0,000036;0,000032;0,000037;0,000036;0,000038;0,000052;0,000073;0,000085;0,000091;0,000091;0,000097;0,000097;0,000098;0,0001;0,000103;0,0001;0,000102
8;Antigua and Barbuda;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;5,70737;6,135985;6,539004;6,086402;6,693208;7,128447;7,285093;8,065707;11,535688;13,164958;13,921375;13,918415;12,924315;14,821103;16,037867;16,792685;17,035853;17,363751;17,704016;20,723838;20,711676;20,534287;22,503;23,733563;24,654779;23,968888;23,415813;22,520326;21,95857;26,426652
8;Antigua and Barbuda;6815;Transport;7273;CO2 emissions;kilotonnes;5,62321;6,048;6,445;5,99965;6,5975;7,02528;7,17935;7,94757;11,376384;12,9858;13,73335;13,7309;12,75085;14,62525;15,84275;16,58298;16,8203;17,14845;17,48365;20,46205;20,4631;20,243;22,2188;23,43075;24,34045;23,66825;23,12865;22,24385;21,6901;26,098421
8;Antigua and Barbuda;6815;Transport;7225;CH4 emissions;kilotonnes;0,001585;0,001639;0,00176;0,001617;0,001738;0,001794;0,001761;0,001871;0,002377;0,002537;0,002537;0,002405;0,002109;0,002241;0,002099;0,002107;0,002009;0,001855;0,001899;0,002252;0,002154;0,002483;0,002449;0,002604;0,002705;0,002594;0,002485;0,002386;0,002319;0,002586
8;Antigua and Barbuda;6815;Transport;7230;N2O emissions;kilotonnes;0,00015;0,000159;0,000169;0,000156;0,000177;0,0002;0,000213;0,000248;0,00035;0,000408;0,000441;0,000453;0,000432;0,000502;0,000515;0,000569;0,000601;0,000616;0,000631;0,00075;0,00071;0,000837;0,000814;0,000868;0,0009;0,00086;0,000821;0,000791;0,000768;0,000965
9;Argentina;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;2952,70304;3131,008541;3337,498832;3572,499915;3777,297633;3930,194682;4048,255029;4179,661058;4358,819862;4184,923707;4085,01714;3719,226287;3480,680956;3569,463626;3820,674226;4007,256065;4220,511122;4292,194016;4564,821346;4091,044184;4408,823761;5054,808553;4987,528499;4647,656192;4583,343556;4752,158534;4701,133585;4773,193302;4580,661876;4922,300456
9;Argentina;6815;Transport;7273;CO2 emissions;kilotonnes;2916,469;3091,919;3293,695;3524,628;3725,8;3876,95;3993,85;4123,62;4300,64;4128,23;4030,67;3666,38;3428,7;3510,445;3755,62;3939,18;4151,02;4222,46;4493,46;4022,27;4337,0755;4976,85;4907,8;4569,3;4504,65;4670,15;4621,2;4694,95;4504,54;4836,751828
9;Argentina;6815;Transport;7225;CH4 emissions;kilotonnes;0,653673;0,714168;0,823281;0,912362;0,994208;1,027136;1,047545;1,082568;1,124368;1,112632;1,112823;1,08974;1,097995;1,28877;1,433022;1,487713;1,489013;1,46542;1,469;1,423147;1,470003;1,571206;1,603929;1,590987;1,61312;1,679193;1,624551;1,557289;1,523999;1,777413
9;Argentina;6815;Transport;7230;N2O emissions;kilotonnes;0,067665;0,072048;0,078309;0,084248;0,089282;0,092396;0,094618;0,097091;0,100746;0,096377;0,087502;0,084278;0,08014;0,08654;0,094074;0,099699;0,104901;0,10831;0,114073;0,109155;0,115427;0,128169;0,131391;0,12758;0,126514;0,132042;0,129986;0,130714;0,126226;0,135023
1;Armenia;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;;;203,82934;132,53075;17,70571;12,581877;6,792021;7,126097;7,470969;7,804824;63,45966;63,076805;60,35414;64,959884;67,495395;75,10712;74,60222;120,70542;143,517495;129,777175;143,67859;147,615875;149,228695;146,974575;164,394175;166,07569;180,32718;190,40285;192,952925;140,710795
1;Armenia;6815;Transport;7273;CO2 emissions;kilotonnes;;;201,3;130,9;17,49;12,43;6,71;7,04;7,381;7,711;62,7;62,37;59,73;64,35;66,77;73,92;73,15;116,6;138,6;125,4;138,6;141,9;143;140,8;159,5;160,6;173,8;183,7;185,9;134,5025
1;Armenia;6815;Transport;7225;CH4 emissions;kilotonnes;;;0,0616;0,03971;0,005247;0,003696;0,001958;0,002013;0,002068;0,002112;0,01672;0,01452;0,01188;0,010538;0,01331;0,02574;0,03146;0,10373;0,1243;0,11;0,1287;0,1474;0,1628;0,1617;0,1243;0,1408;0,1694;0,1738;0,1837;0,160361
